title,certificate,duration,genre,rating,stars,votes
Arrival,PG-13,116,"Drama, Mystery, Sci-Fi",7.9,10,684855
Dead Poets Society,PG,128,"Comedy, Drama",8.1,10,484465
The House,TV-MA,97,"Animation, Comedy, Drama",6.8,16,15290
Skins,TV-MA,46,Drama,8.2,7,83918
Bardo,R,174,"Comedy, Drama",6.7,10,218
Wendell & Wild,PG-13,105,"Animation, Adventure, Comedy",7.5,10,94
The Woman in the House,TV-MA,208,"Comedy, Crime, Drama",6.4,7,44195
Kill Bill: Vol. 1,R,111,"Action, Crime, Drama",8.2,10,1103348
Behind Her Eyes,TV-MA,298,"Drama, Mystery, Thriller",7.2,7,60901
Bleach,TV-14,24,"Animation, Action, Adventure",8.2,7,53769
Uncut Gems,R,135,"Crime, Drama, Thriller",7.4,12,277507
Annihilation,R,115,"Adventure, Drama, Horror",6.8,10,323342
The Mummy,PG-13,110,"Action, Adventure, Fantasy",5.4,10,189542
Orphan Black,TV-MA,44,"Drama, Sci-Fi, Thriller",8.3,7,110756
Altered Carbon,TV-MA,60,"Action, Drama, Sci-Fi",7.9,7,167469
Supergirl,TV-PG,43,"Action, Adventure, Drama",6.2,7,123705
Zero Dark Thirty,R,157,"Drama, History, Thriller",7.4,10,299829
The Irishman,R,209,"Biography, Crime, Drama",7.8,10,382523
Jurassic World: Fallen Kingdom,PG-13,128,"Action, Adventure, Sci-Fi",6.1,10,314340
Big Mouth,TV-MA,30,"Animation, Comedy, Romance",7.9,7,77339
Chilling Adventures of Sabrina,TV-14,60,"Drama, Fantasy, Horror",7.4,7,93761
Death Note,TV-14,24,"Animation, Crime, Drama",9.0,7,316300
Booksmart,R,102,Comedy,7.1,10,117900
Heartbreak High,TV-MA,50,"Drama, Romance",7.8,7,3208
The End of the F***ing World,TV-MA,25,"Adventure, Comedy, Crime",8.1,7,186272
The Revenant,R,156,"Action, Adventure, Drama",8.0,10,794404
Red Notice,PG-13,118,"Action, Comedy, Thriller",6.3,10,270232
Jessica Jones,TV-MA,56,"Action, Crime, Drama",7.9,7,213221
Frozen,PG,102,"Animation, Adventure, Comedy",7.4,12,620220
